TAIL_NUM,MFR,MODEL,YEAR MFR
N122HQ,EMBRAER,ERJ 170-200 LR,2007
N86375,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2020
N923NK,AIRBUS,A320-271N,2019
N8650F,BOEING,737-8H4,2014
N882NN,BOEING,737-823,2011
N110HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N8663A,BOEING,737-8H4,2015
N214WN,BOEING,737-7H4,2005
N313PQ,BOMBARDIER INC,CL-600-2D24,2014
N626NK,AIRBUS,A320-232,2014
N185UW,AIRBUS INDUSTRIE,A321-211,2002
N810NN,BOEING,737-823,2009
N714FR,AIRBUS,A321-211,2016
N445WN,BOEING,737-7H4,2003
N7852A,BOEING,737-71B,2006
N8704Q,BOEING,737-8,2017
N8581Z,BOEING,737-800,2018
N352PS,BOEING,737-800,2017
N244WN,BOEING,737-7H4,2006
N344NW,AIRBUS INDUSTRIE,A320-212,1992
N8711Q,BOEING,737-8,2017
N917DU,BOEING,737-900ER,2019
N12238,BOEING,737-824,1999
N725UW,AIRBUS INDUSTRIE,A319-112,1999
N360FR,AIRBUS,A320-251N,2019
N992NN,BOEING,737-823,2016
N854DN,BOEING,737-932ER,2016
N656NK,AIRBUS,A320-232,2018
N719FR,AIRBUS,A321-211,2017
N17233,BOEING,737-824,1999
N632NK,AIRBUS,A320-232,2014
N709UW,AIRBUS INDUSTRIE,A319-112,1999
N921DU,BOEING,737-900ER,2019
N114UW,AIRBUS INDUSTRIE,A320-214,1999
N17229,BOEING,737-824,1999
N8301J,BOEING,737-8H4,2012
N881DN,BOEING,737-900ER,2017
N828DN,BOEING,737-932ER,2014
N704FR,AIRBUS,A321-211,2015
N8311Q,BOEING,737-8H4,2012
N633NK,AIRBUS,A320-232,2014
N907DN,BOEING,737-900ER,2018
N225WN,BOEING,737-7H4,2005
N478WN,BOEING,737-7H4,2004
N8531Q,BOEING,737-800,2017
N37506,BOEING,737-9,2018
N909WN,BOEING,737-7H4,2008
N918NN,BOEING,737-823,2013
N912DU,BOEING,737-900ER,2018
N937NN,BOEING,737-823,2013
N964WN,BOEING,737-7H4,2011
N289MW,EMBRAER S A,ERJ 170-200 LR,2019
N77536,BOEING,737-824,2016
N535AS,BOEING,737-890,2011
N8540V,BOEING,737-800,2017
N8709Q,BOEING,737-8,2017
N7863A,BOEING,737-7Q8,2002
N473WN,BOEING,737-7H4,2004
N267NN,EMBRAER S A,ERJ 170-200 LR,2018
N958AN,BOEING,737-823,2001
N8306H,BOEING,737-8H4,2012
N8632A,BOEING,737-8H4,2014
N906NK,AIRBUS,A320-271N,2018
N614QX,BOMBARDIER INC,CL-600-2C10,2002
N807DN,BOEING,737-932ER,2013
N935XJ,BOMBARDIER INC,CL-600-2D24,2008
N810UA,AIRBUS INDUSTRIE,A319-131,1998
N701UW,AIRBUS INDUSTRIE,A319-112,1998
N125HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N665AW,AIRBUS INDUSTRIE,A320-232,2001
N403YX,EMBRAER S A,ERJ 170-200 LR,2013
N17244,BOEING,737-824,1999
N520AS,BOEING,737-890,2009
N927XJ,BOMBARDIER INC,CL-600-2D24,2008
N909DN,BOEING,737-900ER,2018
N918DU,BOEING,737-900ER,2019
N8030F,AIRBUS,A319-115,2015
N862RW,EMBRAER,ERJ 170-100 SE,2005
N8574Z,BOEING,737-800,2018
N408YX,EMBRAER,ERJ 170-200 LR,2013
N413WN,BOEING,737-7H4,2001
N37522,BOEING,737-9,2021
N821DN,BOEING,737-932ER,2014
N291WN,BOEING,737-7H4,2007
N477WN,BOEING,737-7H4,2004
N556WN,BOEING,737-7BD,2011
N8707P,BOEING,737-8,
N8615E,BOEING,737-8H4,2013
N936NK,AIRBUS,A320-271N,2021
N890DN,BOEING,737-900ER,2018
N8302F,BOEING,737-8H4,2012
N250WN,BOEING,737-7H4,2006
N664AW,AIRBUS INDUSTRIE,A320-232,2001
N8553W,BOEING,737-800,2017
N8647A,BOEING,737-8H4,2014
N7713A,BOEING,737-7BD,2005
N428UA,AIRBUS INDUSTRIE,A320-232,1995
N924WN,BOEING,737-7H4,2008
N772XF,AIRBUS,A319-112,2003
N7873A,BOEING,737-7Q8,2004
N486WN,BOEING,737-7H4,2004
N374NW,AIRBUS INDUSTRIE,A320-212,2001
N384FR,AIRBUS,A320-251N,2021
N957WN,BOEING,737-7H4,2011
N8710M,BOEING,737-8,2017
N7833A,BOEING,737-79P,2003
N262WN,BOEING,737-7H4,2006
N279WN,BOEING,737-7H4,2007
N933NK,AIRBUS,A320-271N,2020
N613NK,AIRBUS,A320-232,2012
N641NK,AIRBUS,A320-232,2015
N942AT,BOEING,717-200,1999
N8554X,BOEING,737-800,2017
N914WN,BOEING,737-7H4,2008
N8627B,BOEING,737-8H4,2014
N7725A,BOEING,737-76N,2006
N280WN,BOEING,737-7H4,2007
N457WN,BOEING,737-7H4,2004
N47524,BOEING,737-9,2020
N37462,BOEING,737-924ER,2012
N267WN,BOEING,737-7H4,2007
N828UA,AIRBUS INDUSTRIE,A319-131,1999
N335NW,AIRBUS INDUSTRIE,A320-212,1992
N374CA,BOMBARDIER INC,CL-600-2C11,2003
N338NB,AIRBUS,A319-114,2002
N7727A,BOEING,737-76N,2006
N483WN,BOEING,737-7H4,2004
N855NN,BOEING,737-823,2010
N8607M,BOEING,737-8H4,2013
N8686A,BOEING,737-8H4,2016
N7752B,BOEING,737-7BD,2008
N8728Q,BOEING,737-8,2018
N365FR,AIRBUS,A320-251N,2019
N485WN,BOEING,737-7H4,2004
N227WN,BOEING,737-7H4,2005
N256WN,BOEING,737-7H4,2006
N265WN,BOEING,737-7H4,2007
N429WN,BOEING,737-7H4,2002
N7821L,BOEING,737-7CT,2003
N255WN,BOEING,737-7H4,2006
N122US,AIRBUS INDUSTRIE,A320-214,2000
N7728D,BOEING,737-7BD,2006
N427WN,BOEING,737-7H4,2002
N813NN,BOEING,737-823,2009
N8544Z,BOEING,737-800,2017
N8669B,BOEING,737-8H4,2015
N441WN,BOEING,737-7H4,2003
N7815L,BOEING,737-76Q,2003
N285NN,EMBRAER S A,ERJ 170-200 LR,2019
N905NK,AIRBUS,A320-271N,2016
N458WN,BOEING,737-7H4,2004
N8541W,BOEING,737-800,2017
N463WN,BOEING,737-7H4,2004
N928NK,AIRBUS SAS,A320-271N,2019
N495UA,AIRBUS,A320-232,2002
N259WN,BOEING,737-7H4,2006
N721FR,AIRBUS,A321-211,2017
N8501V,BOEING,737-800,2016
N623NK,AIRBUS,A320-232,2013
N877UA,AIRBUS,A319-132,2004
N924AT,BOEING,717-200,2000
N873NN,BOEING,737-823,2011
N359FR,AIRBUS,A320-251N,2019
N103DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,
N859DN,BOEING,737-932ER,2016
N8542Z,BOEING,737-800,2017
N8677A,BOEING,737-8H4,2016
N27260,BOEING,737-8,2021
N8678E,BOEING,737-8H4,2016
N8576Z,BOEING,737-800,2018
N385DN,BOEING,737-832,1999
N67827,BOEING,737-924ER,2014
N8519R,BOEING,737-800,2017
N8307K,BOEING,737-8H4,2012
N203WN,BOEING,737-7H4,2005
N830DN,BOEING,737-932ER,2014
N499WN,BOEING,737-7H4,2005
N717EV,BOMBARDIER INC,CL-600-2C11,2003
N448WN,BOEING,737-7H4,2003
N8569Z,BOEING,737-800,2018
N366NB,AIRBUS,A319-114,2003
N319NB,AIRBUS INDUSTRIE,A319-114,2000
N7829B,BOEING,737-7CT,2003
N238WN,BOEING,737-7H4,2005
N542UW,AIRBUS,A321-231,2009
N8722L,BOEING,737-8,2018
N8318F,BOEING,737-8H4,2012
N219WN,BOEING,737-7H4,2005
N962WN,BOEING,737-7H4,2011
N119HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N8548P,BOEING,737-800,2017
N602LR,BOMBARDIER INC,CL-600-2D24,2008
N861DN,BOEING,737-932ER,2016
N32404,BOEING,737-924,2001
N604NK,AIRBUS,A320-232,
N566NN,BOMBARDIER INC,CL-600-2D24,2015
N845DN,BOEING,737-932ER,2015
N429UA,AIRBUS INDUSTRIE,A320-232,1995
N353NB,AIRBUS,A319-114,2002
N614NK,AIRBUS,A320-232,2012
N866NN,BOEING,737-823,2010
N769US,AIRBUS INDUSTRIE,A319-112,2000
N946AT,BOEING,717-200,1999
N550WN,BOEING,737-76Q,2001
N206WN,BOEING,737-7H4,2005
N804NN,BOEING,737-823,
N7741C,BOEING,737-7BD,2007
N8656B,BOEING,737-8H4,2014
N8312C,BOEING,737-8H4,2012
N732US,AIRBUS INDUSTRIE,A319-112,2000
N937NK,AIRBUS,A320-271N,2021
N8525S,BOEING,737-800,2017
N803DN,BOEING,737-932ER,2013
N8731J,BOEING,737-8,2018
N833DN,BOEING,737-932ER,2015
N277AK,BOEING,737-900ER,2017
N421LV,BOEING,737-7H4,2001
N410WN,BOEING,737-7H4,2001
N8691A,BOEING,737-8H4,2016
N940NK,AIRBUS,A320-271N,2021
N7835A,BOEING,737-752,2005
N902NK,AIRBUS,A320-271N,2016
N952AT,BOEING,717-200,2000
N956WN,BOEING,737-7H4,2011
N8667D,BOEING,737-8H4,2015
N8814K,BOEING,737-8,2021
N710FR,AIRBUS,A321-211,2016
N8646B,BOEING,737-8H4,2014
N910NN,BOEING,737-823,2012
N247WN,BOEING,737-7H4,2006
N8817L,BOEING,737-8,2021
N8571Z,BOEING,737-800,2018
N919WN,BOEING,737-7H4,2008
N8584Z,BOEING,737-800,2018
N377FR,AIRBUS,A320-251N,2021
N8680C,BOEING,737-8H4,2016
N937WN,BOEING,737-7H4,2009
N918NK,AIRBUS,A320-271N,2019
N947WN,BOEING,737-7H4,2010
N7857B,BOEING,737-79P,2005
N8507C,BOEING,737-800,2016
N8651A,BOEING,737-8H4,2014
N931WN,BOEING,737-7H4,2009
N945WN,BOEING,737-7H4,2010
N8564Z,BOEING,737-800,2018
N929WN,BOEING,737-7H4,2008
N273WN,BOEING,737-7H4,2007
N8513F,BOEING,737-800,2016
N8520Q,BOEING,737-800,2017
N239WN,BOEING,737-7H4,2006
N8805L,BOEING,737-8,2021
N7715E,BOEING,737-7BD,2005
N268WN,BOEING,737-7H4,2007
N7874B,BOEING,737-7Q8,2004
N8606C,BOEING,737-8H4,
N852DN,BOEING,737-932ER,2016
N8809L,BOEING,737-8,2021
N702FR,AIRBUS,A321-211,2015
N8533S,BOEING,737-800,2017
N921NK,AIRBUS,A320-271N,2019
N7880D,BOEING,737-7K5,2007
N8662F,BOEING,737-8H4,2015
N86534,BOEING,737-824,2016
N498WN,BOEING,737-7H4,2005
N8617E,BOEING,737-8H4,2013
N7885A,BOEING,737-76N,2002
N561WN,BOEING,737-73V,2003
N8551Q,BOEING,737-800,2017
N570WN,BOEING,737-7CT,2002
N922WN,BOEING,737-7H4,2008
N7889A,BOEING,737-79L,2005
N7855A,BOEING,737-79P,2005
N470WN,BOEING,737-7H4,2004
N8631A,BOEING,737-8H4,2014
N288WN,BOEING,737-7H4,2007
N948WN,BOEING,737-7H4,2010
N8575Z,BOEING,737-800,2018
N464WN,BOEING,737-7H4,2004
N8655D,BOEING,737-8H4,2014
N8682B,BOEING,737-8H4,2016
N816DN,BOEING,737-932ER,2014
N7730A,BOEING,737-7BD,2006
N284WN,BOEING,737-7H4,2007
N443WN,BOEING,737-7H4,2003
N315NB,AIRBUS INDUSTRIE,A319-114,2000
N462WN,BOEING,737-7H4,2004
N211WN,BOEING,737-7H4,2005
N7820L,BOEING,737-79P,2002
N8804L,BOEING,737-8,2021
N7750A,BOEING,737-7BD,2008
N494WN,BOEING,737-7H4,2004
N605NK,AIRBUS,A320-232,2011
N838UA,AIRBUS INDUSTRIE,A319-131,2001
N989AT,BOEING,717-200,2001
N8618N,BOEING,737-8H4,2013
N258WN,BOEING,737-7H4,2006
N467WN,BOEING,737-7H4,2004
N114DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019
N7844A,BOEING,737-752,2007
N573NN,BOMBARDIER INC,CL-600-2D24,2015
N246LV,BOEING,737-7H4,2006
N8550Q,BOEING,737-800,2017
N201LV,BOEING,737-7H4,2005
N8637A,BOEING,737-8H4,2014
N8635F,BOEING,737-8H4,2014
N401YX,EMBRAER S A,ERJ 170-200 LR,2013
N390DA,BOEING,737-832,2000
N673AW,AIRBUS,A320-232,
N920WN,BOEING,737-7H4,2008
N451WN,BOEING,737-7H4,2004
N939NK,AIRBUS,A320-271N,2021
N566WN,BOEING,737-7CT,2002
N489WN,BOEING,737-7H4,2004
N8694E,BOEING,737-8H4,2016
N8811L,BOEING,737-8,2021
N946WN,BOEING,737-7H4,2010
N37504,BOEING,737-9,2018
N480WN,BOEING,737-7H4,2004
N472WN,BOEING,737-7H4,2004
N103US,AIRBUS INDUSTRIE,A320-214,1999
N872NN,BOEING,737-823,2011
N925NK,AIRBUS,A320-271N,2020
N649NK,AIRBUS,A320-232,2017
N652AW,AIRBUS INDUSTRIE,A320-232,1999
N8673F,BOEING,737-8H4,2015
N8320J,BOEING,737-8H4,2012
N285WN,BOEING,737-7H4,2007
N321NB,AIRBUS INDUSTRIE,A319-114,2001
N930NK,AIRBUS,A320-271N,2020
N490UA,AIRBUS,A320-232,2002
N8658A,BOEING,737-8H4,2015
N950NK,AIRBUS,A320-271N,2021
N700UW,AIRBUS INDUSTRIE,A319-112,1998
N8730Q,BOEING,737-8,2018
N804DN,BOEING,737-932ER,2013
N8688J,BOEING,737-8H4,2016
N701FR,AIRBUS,A321-211,2015
N8719Q,BOEING,737-8,2018
N8639B,BOEING,737-8H4,2014
N7740A,BOEING,737-7BD,2007
N567WN,BOEING,737-7CT,2002
N8558Z,BOEING,737-800,2017
N7732A,BOEING,737-7BD,2006
N37530,BOEING,737-9,2021
N87507,BOEING,737-824,2008
N272WN,BOEING,737-7H4,2007
N900WN,BOEING,737-7H4,2007
N7825A,BOEING,737-7CT,2003
N331FR,AIRBUS,A320-251N,2018
N8552Z,BOEING,737-800,2017
N926WN,BOEING,737-7H4,2008
N636NK,AIRBUS,A320-232,2015
N7735A,BOEING,737-7BD,2006
N8626B,BOEING,737-8H4,2014
N8657B,BOEING,737-8H4,2015
N8510E,BOEING,737-800,2016
N282WN,BOEING,737-7H4,2007
N8613K,BOEING,737-8H4,2013
N965WN,BOEING,737-7H4,2011
N7737E,BOEING,737-7BD,2006
N655AW,AIRBUS INDUSTRIE,A320-232,1999
N8807L,BOEING,737-8,2021
N406YX,EMBRAER S A,ERJ 170-200 LR,2013
N742PS,AIRBUS INDUSTRIE,A319-112,2000
N783SW,BOEING,737-7H4,2000
N8605E,BOEING,737-8H4,2012
N7738A,BOEING,737-7BD,2006
N958WN,BOEING,737-7H4,2011
N8801Q,BOEING,737-8,2021
N912NK,AIRBUS,A320-271N,2018
N8567Z,BOEING,737-800,2018
N241WN,BOEING,737-7H4,2006
N455WN,BOEING,737-7H4,2004
N8713M,BOEING,737-800,2017
N8630B,BOEING,737-8H4,2014
N27511,BOEING,737-9,2018
N618NK,AIRBUS,A320-232,2013
N922NK,AIRBUS,A320-271N,2019
N825UA,AIRBUS INDUSTRIE,A319-131,1999
N711FR,AIRBUS,A321-211,2016
N967WN,BOEING,737-7H4,2011
N8640D,BOEING,737-8H4,2014
N349NB,AIRBUS,A319-114,2002
N922AN,BOEING,737-823,1999
N845UA,AIRBUS INDUSTRIE,A319-131,2001
N8577Z,BOEING,737-800,2018
N8645A,BOEING,737-8H4,2014
N706FR,AIRBUS,A321-211,2015
N349PQ,BOMBARDIER INC,CL-600-2D24,2015
N563WN,BOEING,737-752,2002
N8328A,BOEING,737-8H4,2012
N8327A,BOEING,737-8H4,2012
N8528Q,BOEING,737-800,2017
N343FR,AIRBUS,A320-251N,2018
N995AT,BOEING,717-200,2002
N628NK,AIRBUS,A320-232,2014
N102HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N960WN,BOEING,737-7H4,2011
N7879A,BOEING,737-7K9,2005
N555LV,BOEING,737-7BD,2011
N224WN,BOEING,737-7H4,2005
N7720F,BOEING,737-7BD,2006
N8546V,BOEING,737-800,2017
N8810L,BOEING,737-8,2021
N7826B,BOEING,737-79P,2003
N8684F,BOEING,737-8H4,2016
N283WN,BOEING,737-7H4,2007
N269WN,BOEING,737-7H4,2007
N903WN,BOEING,737-7H4,2007
N8568Z,BOEING,737-800,2018
N7743B,BOEING,737-7BD,2008
N606LR,BOMBARDIER INC,CL-600-2D24,2008
N8664J,BOEING,737-8H4,2015
N924NK,AIRBUS,A320-271N,2019
N8806Q,BOEING,737-8,2021
N310FR,AIRBUS,A320-251N,2017
N926NK,AIRBUS,A320-271N,2020
N8671D,BOEING,737-8H4,2015
N426WN,BOEING,737-7H4,2002
N7847A,BOEING,737-752,2005
N474WN,BOEING,737-7H4,2004
N8689C,BOEING,737-8H4,2016
N953WN,BOEING,737-7H4,2010
N906WN,BOEING,737-7H4,2008
N617NK,AIRBUS,A320-232,2012
N949WN,BOEING,737-7H4,2010
N8620H,BOEING,737-8H4,2013
N834NN,BOEING,737-823,2010
N324NB,AIRBUS INDUSTRIE,A319-114,2001
N449WN,BOEING,737-7H4,2003
N431WN,BOEING,737-7H4,2002
N951WN,BOEING,737-7H4,2010
N664NK,AIRBUS,A321-231,2016
N8661A,BOEING,737-8H4,2015
N697NK,AIRBUS,A320-232,2010
N8638A,BOEING,737-8H4,2014
N901WN,BOEING,737-7H4,2007
N658AW,AIRBUS INDUSTRIE,A320-232,1999
294NV,AIRBUS,A320-214,
N124AA,AIRBUS,A321-231,2014
N946NK,AIRBUS,A320-271N,2021
N753SK,BOMBARDIER INC,CL-600-2C10,2005
N645NK,AIRBUS,A320-232,2016
N587UW,AIRBUS,A321-231,2014
N948NK,AIRBUS,A320-271N,2021
N208WN,BOEING,737-7H4,2005
N8644C,BOEING,737-8H4,2014
N482WN,BOEING,737-7H4,2004
N281WN,BOEING,737-7H4,2007
N8660A,BOEING,737-8H4,2015
N8611F,BOEING,737-8H4,2013
N8310C,BOEING,737-8H4,2012
N563NN,BOMBARDIER INC,CL-600-2D24,2015
N62892,BOEING,737-924ER,2015
N8803L,BOEING,737-8,2021
N653AW,AIRBUS INDUSTRIE,A320-232,1999
N7886A,BOEING,737-752,2007
N8725L,BOEING,737-8,2018
N7862A,BOEING,737-79P,2005
N8549Z,BOEING,737-800,2017
N8503A,BOEING,737-800,2016
N872DN,BOEING,737-900ER,2017
N8679A,BOEING,737-8H4,2016
N236WN,BOEING,737-7H4,2006
N878DN,BOEING,737-900ER,2017
N925WN,BOEING,737-7H4,2008
N8512U,BOEING,737-800,2016
N9004F,AIRBUS,A319-115,2013
N712FR,AIRBUS,A321-211,2016
N934AT,BOEING,717-200,2000
N245WN,BOEING,737-7H4,2006
N930AU,AIRBUS,A321-231,2017
N915NK,AIRBUS,A320-271N,2018
N217JC,BOEING,737-7H4,2005
N940WN,BOEING,737-7H4,2009
N309FR,AIRBUS,A320-251N,2017
N8323C,BOEING,737-8H4,2012
N897DN,BOEING,737-900ER,2018
N908NK,AIRBUS,A320-271N,2018
N271LV,BOEING,737-705,
N12225,BOEING,737-824,1998
N8557Q,BOEING,737-800,2017
N7832A,BOEING,737-79P,2003
N8685B,BOEING,737-8H4,2016
N941NK,AIRBUS,A320-271N,2021
N627NK,AIRBUS,A320-232,2014
N814DN,BOEING,737-932ER,2014
N8303R,BOEING,737-8H4,2012
N8693A,BOEING,737-8H4,2016
N440LV,BOEING,737-7H4,2003
N853UA,AIRBUS,A319-131,2002
279NV,AIRBUS,A320-214,
N340NW,AIRBUS INDUSTRIE,A320-212,1992
N7846A,BOEING,737-76N,2007
N856DN,BOEING,737-932ER,2016
N200WN,BOEING,737-7H4,2005
N951NK,AIRBUS,A320-271N,2021
N213WN,BOEING,737-7H4,2005
N8628A,BOEING,737-8H4,2014
N805DN,BOEING,737-932ER,2013
N8529Z,BOEING,737-800,2017
N8536Z,BOEING,737-800,2017
N662AW,AIRBUS INDUSTRIE,A320-232,2000
N120HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N8649A,BOEING,737-8H4,2014
N500WR,BOEING,737-8H4,2014
N913XJ,BOMBARDIER INC,CL-600-2D24,2007
N27246,BOEING,737-824,1999
N8610A,BOEING,737-8H4,2013
N237WN,BOEING,737-7H4,2006
N111NG,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019
N437WN,BOEING,737-7H4,2003
N565WN,BOEING,737-76Q,2002
N7721E,BOEING,737-7BD,2006
N8702L,BOEING,737-8,2018
N716FR,AIRBUS,A321-211,2017
N923AN,BOEING,737-823,1999
N643NK,AIRBUS,A320-232,2015
N7723E,BOEING,737-76N,2006
N8690A,BOEING,737-8H4,2016
N289CT,BOEING,737-7H4,2007
N7724A,BOEING,737-7BD,2009
N915WN,BOEING,737-7H4,2008
N765SW,BOEING,737-7H4,2000
N456WN,BOEING,737-7H4,2004
N8721J,BOEING,737-8,2018
N424WN,BOEING,737-7H4,2002
N8726H,BOEING,737-8,2018
N8518R,BOEING,737-800,2016
N8305E,BOEING,737-8H4,2012
N7828A,BOEING,737-7CT,2003
N8608N,BOEING,737-8H4,2013
N7822A,BOEING,737-76N,2001
N8582Z,BOEING,737-800,2018
N8813Q,BOEING,737-8,2021
N420WN,BOEING,737-7H4,2001
N7841A,BOEING,737-7L9,2001
N37273,BOEING,737-824,2001
N944NK,AIRBUS,A320-271N,2021
N469WN,BOEING,737-7H4,2004
N942NK,AIRBUS,A320-271N,2021
N235WN,BOEING,737-7H4,2006
N8562Z,BOEING,737-800,2018
N841DN,BOEING,737-932ER,2015
N608NK,AIRBUS,A320-232,2011
N8322X,BOEING,737-8H4,2012
N453UA,AIRBUS INDUSTRIE,A320-232,1999
N460WN,BOEING,737-7H4,2004
N8654B,BOEING,737-8H4,2014
N8659D,BOEING,737-8H4,2015
N9021H,AIRBUS,A319-115,2014
N8580Z,BOEING,737-800,2018
N945AT,BOEING,717-200,1999
N164NN,AIRBUS,A321-231,2016
N409WN,BOEING,737-7H4,2001
N447WN,BOEING,737-7H4,2003
N8530W,BOEING,737-800,2017
N930WN,BOEING,737-7H4,2009
N696NK,AIRBUS,A320-232,2019
N917NK,AIRBUS,A320-271N,2019
N257NN,EMBRAER,ERJ 170-200 LR,2017
N8508W,BOEING,737-800,2016
N882UA,AIRBUS,A319-132,2005
N336NB,AIRBUS INDUSTRIE,A319-114,2002
N920NK,AIRBUS,A320-271N,2019
N646NK,AIRBUS,A320-232,2016
N945NK,AIRBUS,A320-271N,2021
N242WN,BOEING,737-7H4,2006
N286WN,BOEING,737-7H4,2004
N873DN,BOEING,737-900ER,2017
N673NK,AIRBUS,A321-231,2017
N7869A,BOEING,737-79P,2006
N8563Z,BOEING,737-800,2018
N723FR,AIRBUS,A321-211,2018
N106HQ,EMBRAER,ERJ 170-200 LR,2007
N8641B,BOEING,737-8H4,2014
N277WN,BOEING,737-7H4,2007
N115HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N932WN,BOEING,737-7H4,2009
N67845,BOEING,737-924ER,2015
N718EV,BOMBARDIER INC,CL-600-2C11,2003
N294WN,BOEING,737-7H4,2007
N955WN,BOEING,737-7H4,2011
N7824A,BOEING,737-7BK,2001
N8624J,BOEING,737-8H4,2014
N276WN,BOEING,737-7H4,2007
N8603F,BOEING,737-8H4,2012
N624NK,AIRBUS,A320-232,2013
N943NK,AIRBUS,A320-271N,2021
N7722B,BOEING,737-76N,2006
N8566Z,BOEING,737-800,2018
N905DN,BOEING,737-900ER,2018
N229WN,BOEING,737-7H4,2006
N718FR,AIRBUS,A321-211,2017
N8818Q,BOEING,737-8,2021
N639NK,AIRBUS,A320-232,2015
N931NK,AIRBUS,A320-271N,2020
N907NK,AIRBUS,A320-271N,2018
N8800L,BOEING,737-8,2021
N8665D,BOEING,737-8H4,2015
N8522P,BOEING,737-800,2017
N815UA,AIRBUS INDUSTRIE,A319-131,1998
N333NW,AIRBUS INDUSTRIE,A320-211,1992
N712US,AIRBUS INDUSTRIE,A319-112,1999
N222WN,BOEING,737-7H4,2005
N961WN,BOEING,737-7H4,2011
N968WN,BOEING,737-7H4,2011
N209WN,BOEING,737-7H4,2005
N8670A,BOEING,737-8H4,2015
N8509U,BOEING,737-800,2016
N902WN,BOEING,737-7H4,2007
N557AS,BOEING,737-890,2006
N299PQ,BOMBARDIER INC,CL-600-2D24,2013
N255NN,EMBRAER S A,ERJ 170-200 LR,2017
N7704B,BOEING,737-7BD,2004
N577AS,BOEING,737-890,2007
N399DA,BOEING,737-832,2000
N549AS,BOEING,737-8FH,2005
N272PQ,BOMBARDIER INC,CL-600-2D24,2013
N76502,BOEING,737-824,2006
N833AW,AIRBUS,A319-132,2002
284NV,AIRBUS,A320-214,2012
N8745K,BOEING,737-8,2020
N840AW,AIRBUS,A319-132,2006
N69819,BOEING,737-924ER,2014
N704US,AIRBUS INDUSTRIE,A319-112,1998
N756US,AIRBUS INDUSTRIE,A319-112,2000
N976UY,AIRBUS,A321-231,2012
N748UW,AIRBUS INDUSTRIE,A319-112,2000
N104DN,AIRBUS,A321-211,
N339PL,BOEING,737-800,2017
N236FR,AIRBUS,A320-214,2016
N16234,BOEING,737-824,1999
N309PQ,BOMBARDIER INC,CL-600-2D24,2014
N78501,BOEING,737-824,2006
N898DN,BOEING,737-900ER,2018
N925UY,AIRBUS,A321-231,2015
N310DN,AIRBUS SAS,A321-213,2016
N338NW,AIRBUS INDUSTRIE,A320-212,1992
N558UW,AIRBUS,A321-231,2012
N940NN,BOEING,737-823,2013
N332FR,AIRBUS,A320-251N,2018
203NV,AIRBUS,A320-214,2012
N535NK,AIRBUS INDUSTRIE,A319-132,2010
N829AW,AIRBUS INDUSTRIE,A319-132,
N950NN,BOEING,737-823,2014
N601NK,AIRBUS,A320-232,2010
N730SK,BOMBARDIER INC,CL-600-2C10,2005
N336FR,AIRBUS,A320-251N,2018
N77261,BOEING,737-824,2001
N294AK,BOEING,737-900ER,2018
N308PQ,BOMBARDIER INC,CL-600-2D24,2014
N494UA,AIRBUS,A320-232,2002
N540UW,AIRBUS,A321-231,2009
N194UW,AIRBUS,A321-211,
N449UA,AIRBUS INDUSTRIE,A320-232,1998
N73251,BOEING,737-824,2000
N717JL,BOEING,717-200,2002
N750UW,AIRBUS INDUSTRIE,A319-112,2000
N479UA,AIRBUS INDUSTRIE,A320-232,2001
N127UW,AIRBUS,A320-214,2010
N521UW,AIRBUS,A321-231,2009
N8743K,BOEING,737-8,2021
N117DX,AIRBUS,A321-211,2021
N7881A,BOEING,737-7CT,2008
N692CA,BOMBARDIER INC,CL-600-2D24,2006
N317FR,AIRBUS,A320-251N,2017
N233FR,AIRBUS,A320-214,2016
331NV,AIRBUS,A319-111,
N365NB,AIRBUS,A319-114,2003
N819AW,AIRBUS INDUSTRIE,A319-132,2000
N611NK,AIRBUS,A320-232,2012
N981UY,AIRBUS,A321-231,2013
N36447,BOEING,737-924ER,2012
N764US,AIRBUS INDUSTRIE,A319-112,2000
N860DN,BOEING,737-932ER,2016
N68453,BOEING,737-924ER,2012
N820NN,BOEING,737-823,2009
N350FR,AIRBUS,A320-251N,2019
N267AK,BOEING,737-900ER,2017
N123UW,AIRBUS INDUSTRIE,A320-214,2000
N840DN,BOEING,737-932ER,2015
N975UY,AIRBUS,A321-231,2011
N939AT,BOEING,717-200,2006
N566AS,BOEING,737-890,2007
N328FR,AIRBUS,A320-251N,2018
N8752Q,BOEING,737-8,2022
N33209,BOEING,737-824,2000
N345NW,AIRBUS INDUSTRIE,A320-212,1993
219NV,AIRBUS,A320-214,2000
